cell id,Number,Slice,Date,Sample,Mouse,Mouse date of birth,Mouse age,Mouse gender,Mouse genotype,Targeted layer,Inferred layer,Cre,Exon reads,Intron reads,Intergenic reads,Sequencing batch,Number of genes detected,RNA family,RNA type,RNA type confidence,RNA type top-3,ALM/VISp top-3,Length (bp),Yield (pg/µl),User,Hold Time (min),Soma depth (µm),Soma depth (4x),Cortical thickness (4x),Cortical thickness (µm),Traced,Exclusion reasons
20171219_sample_3,11,20171219_slice_3,2017-12-19,sample 3,mouse_KKXUD,2017-10-19,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,427369,453683,79849,1,12376,IT,L4/5 IT_2,0.99,L4/5 IT_2 (99.4%),"L5 IT ALM Lypd1 Gpr88 (68.0%), L5 IT VISp Hsd11b1 Endou (19.0%), L4 IT VISp Rspo1 (13.0%)",2247,397.84,Fede,10.0,717.4,270.8,560.8,1547.808,y,0
20171219_sample_6,13,20171219_slice_6,2017-12-19,sample 6,mouse_KKXUD,2017-10-19,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,2471422,3168436,549646,1,18199,ET,L5 ET_2,0.82,"L5 ET_2 (81.6%), L5 ET_4 (12.1%), L5 ET_3 (5.1%)",L5 PT VISp Lgr5 (100.0%),1877,430.57,Fede,10.0,642.3,234.3,589.4,1626.744,y,0
20171219_sample_7,14,20171219_slice_7,2017-12-19,sample 7,mouse_KKXUD,2017-10-19,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1060473,251288,95858,1,14483,IT,L5 IT_1,0.61,"L5 IT_1 (61.3%), L4/5 IT_2 (37.3%)","L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (29.0%), L5 IT ALM Tmem163 Dmrtb1 (11.0%)",1826,713.3,Fede,12.0,645.1,235.0,591.2,1631.712,y,0
20171219_sample_8,15,20171219_slice_8,2017-12-19,sample 8,mouse_KKXUD,2017-10-19,61,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,6440446,745288,278593,1,18360,ET,L5 ET_1,0.88,"L5 ET_1 (88.3%), L5 ET_2 (6.3%), L5 ET_4 (4.7%)","L5 PT VISp Krt80 (85.0%), L5 PT ALM Hpgd (8.0%), L5 PT ALM Slco2a1 (7.0%)",2159,1307.7,Fede,11.0,654.3,239.5,513.0,1415.88,y,0
20180102_sample_1,16,20180102_slice_1,2018-01-02,sample 1,mouse_HXCVU,2017-10-19,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1242323,1373770,310531,1,17573,ET,L5 ET_1,1.0,L5 ET_1 (100.0%),L5 PT ALM Slco2a1 (99.0%),2417,543.91,Fede,13.0,690,251.2,523.8,1445.688,y,0
20180102_sample_3,18,20180102_slice_3,2018-01-02,sample 3,mouse_HXCVU,2017-10-19,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,451976,633174,107891,1,15478,ET,L5 ET_1,1.0,L5 ET_1 (99.7%),"L5 PT ALM Slco2a1 (94.0%), L5 PT VISp Krt80 (6.0%)",2456,582.7,Fede,11.0,801.6,305.5,533.9,1473.564,y,0
20180102_sample_4,19,20180102_slice_4,2018-01-02,sample 4,mouse_HXCVU,2017-10-19,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,8136289,9307202,2326755,1,21702,ET,L5 ET_1,0.92,"L5 ET_1 (91.7%), L5 ET_4 (4.0%)","L5 PT VISp Krt80 (53.0%), L5 PT ALM Slco2a1 (47.0%)",2003,717.83,Fede,11.0,716,307.9,536.7,1481.292,y,0
20180102_sample_5,20,20180102_slice_5,2018-01-02,sample 5,mouse_HXCVU,2017-10-19,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5405143,4146131,1093120,1,20304,IT,L4/5 IT_2,0.86,"L4/5 IT_2 (86.0%), L5 IT_1 (5.9%), L5 ET_2 (3.1%)","L5 IT ALM Lypd1 Gpr88 (82.0%), L5 IT VISp Hsd11b1 Endou (9.0%), L5 IT ALM Tmem163 Arhgap25 (4.0%)",2053,524.61,Fede,12.0,589.5,218.8,557.6,1538.976,y,0
20180103_sample_2,22,20180103_slice_2,2018-01-03,sample 2,mouse_BXLFB,2017-10-27,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,7817990,13265394,2283480,1,22341,ET,L5 ET_1,0.95,L5 ET_1 (95.0%),L5 PT ALM Slco2a1 (99.0%),2148,736.07,Fede,10.0,1001.9,363.3,578.9,1597.764,y,0
20180103_sample_7,27,20180103_slice_7,2018-01-03,sample 7,mouse_BXLFB,2017-10-27,68,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1118512,1255511,193438,1,13201,IT,L5 IT_1,0.93,"L5 IT_1 (92.9%), L4/5 IT_2 (3.6%)","L5 IT ALM Cpa6 Gpr88 (41.0%), L5 IT ALM Cbln4 Fezf2 (27.0%), L5 IT ALM Lypd1 Gpr88 (13.0%)",1639,538.97,Fede,12.0,571.6,213.8,552.8,1525.728,y,0
20180104_sample_6,33,20180104_slice_6,2018-01-04,sample 6,mouse_UALZV,2017-10-27,69,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,174024,137524,25972,3,11684,ET,L5 ET_4,0.48,"L5 ET_4 (47.9%), L5 ET_2 (32.0%), L5 ET_3 (18.3%)","L5 PT VISp Lgr5 (60.0%), L5 PT ALM Npsr1 (24.0%), L5 PT VISp C1ql2 Ptgfr (16.0%)",2195,728.36,Fede,10.0,647.2,234.4,473.7,1307.412,y,0
20180105_sample_4,34,20180105_slice_4,2018-01-05,sample 4,mouse_LYQJP,2017-10-27,70,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5257425,4258865,1027630,1,17438,IT,L5 IT_1,0.62,"L5 IT_1 (61.7%), L5 IT_3 (18.4%), L5 IT_2 (16.6%)","L5 IT ALM Cpa6 Gpr88 (36.0%), L5 IT ALM Cbln4 Fezf2 (23.0%), L5 IT VISp Col27a1 (21.0%)",1579,259.84,Fede,10.0,741.8,271.1,519.5,1433.82,y,0
20180105_sample_5,35,20180105_slice_5,2018-01-05,sample 5,mouse_LYQJP,2017-10-27,70,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3736746,2728967,660163,1,16139,IT,L5 IT_1,0.91,"L5 IT_1 (91.0%), L4/5 IT_2 (3.0%), L5 ET_1 (2.7%)","L4 IT VISp Rspo1 (33.0%), L5 IT ALM Cpa6 Gpr88 (22.0%), L5 IT VISp Batf3 (17.0%)",1513,141.77,Fede,10.0,528.4,199.5,515.8,1423.608,y,0
20180105_sample_6,36,20180105_slice_6,2018-01-05,sample 6,mouse_LYQJP,2017-10-27,70,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1902533,1807065,451233,1,14647,IT,L5 IT_1,0.45,"L5 IT_1 (45.0%), L5 IT_2 (39.7%), L5 IT_3 (8.4%)","L5 IT ALM Gkn1 Pcdh19 (40.0%), L5 IT VISp Col27a1 (34.0%), L6 IT ALM Tgfb1 (13.0%)",1622,168.05,Fede,10.0,638.3,234.5,462.3,1275.948,y,0
20180108_sample_4,40,20180108_slice_4,2018-01-08,sample 4,mouse_OOSLW,2017-11-05,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1069590,1035606,161359,2,5639,ET,L5 ET_4,0.49,"L5 ET_4 (48.9%), L6 CT Pou3f2 (11.1%), L5 ET_2 (9.1%)","L5 PT VISp Lgr5 (55.0%), L5 PT VISp C1ql2 Ptgfr (25.0%), L5 PT ALM Npsr1 (16.0%)",1527,137.09,Fede,10.0,738.1,269.9,528.1,1457.556,y,0
20180108_sample_5,41,20180108_slice_5,2018-01-08,sample 5,mouse_OOSLW,2017-11-05,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,147672,13964,23361,1,16535,ET,L5 ET_2,0.58,"L5 ET_2 (57.7%), L5 ET_3 (24.4%), L5 ET_4 (17.7%)","L5 PT ALM Hpgd (39.0%), L5 PT ALM Npsr1 (31.0%), L5 PT VISp Lgr5 (30.0%)",2412,412.34,Fede,10.0,632.5,214.5,496.3,1369.788,y,0
20180108_sample_9,44,20180108_slice_9,2018-01-08,sample 9,mouse_OOSLW,2017-11-05,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,439766,518015,99561,3,15279,IT,L5 IT_1,0.92,"L5 IT_1 (92.1%), L5 IT_2 (4.4%)","L5 IT ALM Cpa6 Gpr88 (72.0%), L5 IT ALM Gkn1 Pcdh19 (27.0%)",2151,307.11,Fede,10.0,798.2,293.3,537.4,1483.224,y,0
20180110_sample_5,53,20180110_slice_5,2018-01-10,sample 5 ,mouse_GUIGR,2017-11-05,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,811180,747232,156013,1,13169,IT,L5 IT_2,0.46,"L5 IT_2 (45.9%), L5 IT_1 (32.9%), L5 IT_3 (8.7%)","L5 IT VISp Col6a1 Fezf2 (59.0%), L5 IT VISp Col27a1 (20.0%), L6 IT ALM Tgfb1 (15.0%)",1810,236.68,Fede,13.0,767.7,279.4,538.5,1486.26,y,0
20180110_sample_8,55,20180110_slice_8,2018-01-10,sample 8,mouse_GUIGR,2017-11-05,66,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,655899,521591,125756,1,13827,ET,L5 ET_4,0.93,"L5 ET_4 (93.1%), L5 ET_1 (3.7%)",L5 PT ALM Npsr1 (97.0%),2022,325.01,Fede,11.0,664.6,246.4,507.8,1401.528,y,0
20180111_sample_5,56,20180111_slice_5,2018-01-11,sample 5,mouse_DYNRZ,2017-11-05,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,116828,46084,12077,1,6167,IT,L5 IT_3,0.61,"L5 IT_3 (61.1%), L5 IT_4 (13.0%), L5 IT_1 (11.1%)","L5 IT VISp Col27a1 (57.0%), L4 IT VISp Rspo1 (33.0%), L6 IT VISp Penk Fst (5.0%)",2328,102.42,Fede,13.0,795.5,294.0,539.0,1487.64,y,0
20180115_sample_2,57,20180115_slice_2,2018-01-15,sample 2,mouse_IZUBT,2017-11-12,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3583318,3704729,780026,1,19276,IT,L5 IT_1,0.49,"L5 IT_1 (49.4%), L4/5 IT_2 (43.0%), L6 CT Grp (3.7%)","L5 IT VISp Hsd11b1 Endou (84.0%), L5 IT ALM Tmem163 Arhgap25 (7.0%), L5 IT ALM Lypd1 Gpr88 (5.0%)",1976,616.31,Fede,18.0,665.2,242.2,525.0,1449.0,y,0
20180115_sample_5,58,20180115_slice_5,2018-01-15,sample 5,mouse_IZUBT,2017-11-12,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,3756865,4067791,833207,1,18139,IT,L5 IT_1,0.96,L5 IT_1 (96.4%),"L5 IT ALM Cpa6 Gpr88 (72.0%), L5 IT ALM Lypd1 Gpr88 (17.0%), L5 IT VISp Hsd11b1 Endou (8.0%)",2254,371.36,Fede,10.0,825.7,298.0,508.1,1402.356,y,0
20180115_sample_6,59,20180115_slice_6,2018-01-15,sample 6,mouse_IZUBT,2017-11-12,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,710,1040,174,1,1110,low quality,0,0.0,0,0,2252,218.86,Fede,15.0,615.6,221.9,511.6,1412.016,y,0
20180115_sample_7,60,20180115_slice_7,2018-01-15,sample 7,mouse_IZUBT,2017-11-12,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5022778,1772024,413672,1,18151,IT,L5 IT_1,0.74,"L5 IT_1 (73.9%), L5 IT_2 (21.1%)","L5 IT ALM Gkn1 Pcdh19 (74.0%), L5 IT ALM Cpa6 Gpr88 (26.0%)",2048,974.53,Fede,10.0,677.9,254.4,506.5,1397.94,y,0
20180115_sample_8,61,20180115_slice_8,2018-01-15,sample 8,mouse_IZUBT,2017-11-12,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,211358,176614,25829,1,11396,IT,L5 IT_1,0.86,"L5 IT_1 (86.4%), L4/5 IT_2 (12.0%)","L5 IT ALM Tmem163 Arhgap25 (55.0%), L5 IT VISp Hsd11b1 Endou (17.0%), L5 IT ALM Lypd1 Gpr88 (12.0%)",2029,506.51,Fede,10.0,568.5,209.8,538.4,1485.984,y,0
20180115_sample_9,62,20180115_slice_9,2018-01-15,sample 9,mouse_IZUBT,2017-11-12,64,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,332849,323248,66152,1,10880,IT,L5 IT_1,0.66,"L5 IT_1 (66.0%), L5 IT_2 (21.9%), L5 IT_3 (8.0%)","L4 IT VISp Rspo1 (30.0%), L5 IT VISp Col27a1 (26.0%), L5 IT ALM Cpa6 Gpr88 (16.0%)",2019,202.51,Fede,10.0,664,244.6,526.1,1452.036,y,0
20180118_sample_1,63,20180118_slice_1,2018-01-18,sample 1,mouse_OGLHO,2017-11-12,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,58459,91801,16418,1,9784,IT,L5 IT_2,0.55,"L5 IT_2 (55.0%), L5 IT_1 (34.0%), L5 IT_3 (5.0%)","L4 IT VISp Rspo1 (82.0%), L5 IT ALM Cbln4 Fezf2 (4.0%), L5 IT ALM Lypd1 Gpr88 (4.0%)",2023,451.09,Fede,15.0,668.6,245.6,548.6,1514.136,y,0
20180118_sample_2,64,20180118_slice_2,2018-01-18,sample 2,mouse_OGLHO,2017-11-12,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,9252544,5002204,1208972,1,12376,IT,L5 IT_1,0.95,"L5 IT_1 (94.9%), L4/5 IT_2 (2.6%)","L5 IT ALM Cpa6 Gpr88 (28.0%), L5 IT VISp Batf3 (25.0%), L4 IT VISp Rspo1 (24.0%)",1582,167.39,Fede,10.0,592,212.2,538.1,1485.156,y,0
20180118_sample_4,65,20180118_slice_4,2018-01-18,sample 4,mouse_OGLHO,2017-11-12,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,257190,355474,75464,1,9780,IT,L5 IT_1,0.76,"L5 IT_1 (75.7%), L5 IT_2 (20.4%)","L5 IT VISp Batf3 (46.0%), L5 IT ALM Cpa6 Gpr88 (28.0%), L5 IT ALM Lypd1 Gpr88 (13.0%)",1747,467.97,Fede,12.0,601.2,215.8,600.2,1656.552,y,0
20180118_sample_6,66,20180118_slice_6,2018-01-18,sample 6,mouse_OGLHO,2017-11-12,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,36211,66226,15308,1,16357,IT,L5 IT_1,0.94,"L5 IT_1 (94.3%), L5 IT_2 (5.1%)","L5 IT ALM Cpa6 Gpr88 (65.0%), L5 IT VISp Hsd11b1 Endou (24.0%), L5 IT ALM Tmem163 Arhgap25 (9.0%)",2196,267.25,Fede,10.0,623.1,224.2,557.4,1538.424,y,0
20180118_sample_7,67,20180118_slice_7,2018-01-18,sample 7,mouse_OGLHO,2017-11-12,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1130477,1777010,283176,1,19893,ET,L5 ET_1,1.0,L5 ET_1 (99.9%),"L5 PT ALM Slco2a1 (92.0%), L5 PT VISp Krt80 (8.0%)",1734,423.12,Fede,10.0,949,359.8,626.9,1730.244,y,0
20180118_sample_10,68,20180118_slice_10,2018-01-18,sample 10,mouse_OGLHO,2017-11-12,67,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,5587589,8383614,1311553,1,19435,ET,L5 ET_4,0.91,"L5 ET_4 (91.3%), L5 ET_2 (8.6%)",L5 PT ALM Npsr1 (100.0%),1775,174.93,Fede,15.0,730.2,238.3,576.7,1591.692,y,0
20180123_sample_5,71,20180123_slice_5,2018-01-23,sample 5,mouse_CNQDR,2017-11-26,58,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,192559,138402,25497,1,11192,ET,L5 ET_1,0.52,"L5 ET_1 (51.7%), L5 ET_4 (27.6%), L5 ET_3 (13.3%)","L5 PT VISp Krt80 (85.0%), L5 PT VISp Lgr5 (11.0%)",2181,231.55,Fede,10.0,934.1,337.6,613.5,1693.26,y,0
20180123_sample_6,72,20180123_slice_6,2018-01-23,sample 6,mouse_CNQDR,2017-11-26,58,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,2478046,3875499,571483,1,18183,ET,L5 ET_1,0.95,L5 ET_1 (95.0%),"L5 PT ALM Slco2a1 (77.0%), L5 PT VISp Krt80 (23.0%)",2008,530.44,Fede,10.0,706.6,237.4,548.8,1514.688,y,0
20180123_sample_7,73,20180123_slice_7,2018-01-23,sample 7,mouse_CNQDR,2017-11-26,58,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,2724150,2210396,353156,1,15079,ET,L5 ET_4,0.94,"L5 ET_4 (93.7%), L5 ET_2 (5.9%)",L5 PT ALM Npsr1 (100.0%),1869,170.29,Fede,10.0,673.8,243.6,613.9,1694.364,y,0
20180208_sample_1,74,20180208_slice_1,2018-02-08,sample 1,mouse_HDBFV,2017-10-09,122,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT-,2,4,1,3,11,low quality,0,0.0,0,0,2013,207.36,Fede,15.0,734.5,274.1,599.2,1653.792,y,0
20180208_sample_2,75,20180208_slice_2,2018-02-08,sample 2,mouse_HDBFV,2017-10-09,122,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT-,324845,365272,64262,2,11247,ET,L5 ET_1,1.0,L5 ET_1 (99.9%),L5 PT ALM Slco2a1 (96.0%),2415,110.5,Fede,11.0,880.8,303.9,609.2,1681.392,y,0
20180208_sample_5,78,20180208_slice_5,2018-02-08,sample 5,mouse_HDBFV,2017-10-09,122,F,Viaat-Cre/wt; Ai9/wt,5,5,VIAAT-,793093,842776,122285,2,10777,IT,L5 IT_2,0.56,"L5 IT_2 (56.0%), L5 IT_1 (17.4%), L5 IT_3 (17.1%)","L5 IT ALM Gkn1 Pcdh19 (49.0%), L5 IT VISp Col27a1 (17.0%), L5 IT ALM Cbln4 Fezf2 (15.0%)",2127,189.83,Fede,10.0,850.1,309.4,562.8,1553.328,y,0
20180213_sample_3,79,20180213_slice_3,2018-02-13,sample 3,mouse_JDVRZ,2017-11-30,75,M,Pvalb-Cre/wt; Ai9/wt,5,5,PV-,1222199,1632083,263658,2,12476,ET,L5 ET_3,0.68,"L5 ET_3 (68.1%), L5 ET_2 (22.6%), L5 ET_1 (6.0%)","L5 PT ALM Hpgd (59.0%), L5 PT VISp Lgr5 (36.0%)",2434,231,Fede,15.0,821.1,285.4,557.4,1538.424,y,0
20180213_sample_5,80,20180213_slice_5,2018-02-13,sample 5,mouse_JDVRZ,2017-11-30,75,M,Pvalb-Cre/wt; Ai9/wt,6,6,PV+,592231,260860,48470,2,10703,Pvalb,Pvalb Gpr149,0.99,Pvalb Gpr149 (98.7%),"Pvalb Gpr149 Islr (83.0%), Pvalb Reln Itm2a (17.0%)",2073,240.87,Fede,30.0,1250.3,443.7,601.1,1659.036,y,0
20180215_sample_1,81,20180215_slice_1,2018-02-15,sample 1,mouse_LBJDN,2017-11-30,77,F,Pvalb-Cre/wt; Ai9/wt,5,5,PV+,2295515,334341,108871,2,7722,Pvalb,Pvalb Reln,0.72,"Pvalb Reln (72.3%), Pvalb Calb1_2 (13.7%), Pvalb Kank4 (8.7%)","Pvalb Reln Itm2a (66.0%), Pvalb Reln Tac1 (34.0%)",2153,85.85,Fede,40.0,920.1,340.9,615.4,1698.504,y,0
20180220_sample_2,83,20180220_slice_2,2018-02-20,sample 2,mouse_POHNW,2017-10-09,134,F,Viaat-Cre/wt; Ai9/wt,2/3,2/3,VIAAT-,291033,454123,83265,2,10871,IT,L4/5 IT_2,0.94,"L4/5 IT_2 (94.1%), L5 ET_2 (4.1%)","L5 IT ALM Tmem163 Dmrtb1 (50.0%), L5 IT ALM Lypd1 Gpr88 (50.0%)",2016,379.67,Fede,20.0,310.1,114.5,552.8,1525.728,y,0
20180225_sample_1,84,20180225_slice_1,2018-02-25,sample 1,mouse_YHUPM,2017-12-30,57,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV-,249829,420351,70733,2,9327,IT,L2/3 IT_3,0.83,"L2/3 IT_3 (82.9%), L5 ET_2 (6.0%), L4/5 IT_1 (4.7%)","L2/3 IT VISp Agmat (65.0%), L2/3 IT VISp Rrad (28.0%), L4 IT VISp Rspo1 (6.0%)",1904,159.05,Fede,10.0,252.5,93.7,608.4,1679.184,y,0
20180225_sample_3,86,20180225_slice_3,2018-02-25,sample 3,mouse_YHUPM,2017-12-30,57,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV-,872002,1188248,202154,2,10166,IT,L4/5 IT_1,0.97,L4/5 IT_1 (96.9%),L4 IT VISp Rspo1 (97.0%),2015,94.37,Fede,10.0,388,146.4,560.1,1545.876,y,0
20180225_sample_4,87,20180225_slice_4,2018-02-25,sample 4,mouse_YHUPM,2017-12-30,57,M,Pvalb-Cre/wt; Ai9/wt,2/3,5,PV-,2069576,718204,145841,2,13566,IT,L5 IT_1,0.98,L5 IT_1 (97.7%),"L5 IT ALM Cpa6 Gpr88 (80.0%), L5 IT ALM Lypd1 Gpr88 (9.0%), L5 IT ALM Cbln4 Fezf2 (9.0%)",1863,403.39,Fede,10.0,590.3,227.7,540.5,1491.78,y,0
20180225_sample_5,88,20180225_slice_5,2018-02-25,sample 5,mouse_YHUPM,2017-12-30,57,M,Pvalb-Cre/wt; Ai9/wt,2/3,5,PV-,823232,1274323,191722,2,10841,ET,L5 ET_2,0.85,"L5 ET_2 (84.6%), L5 ET_4 (10.7%)","L5 PT ALM Npsr1 (44.0%), L5 PT ALM Hpgd (23.0%), L5 PT VISp Lgr5 (21.0%)",2048,173.59,Fede,10.0,557.5,206.6,561.6,1550.016,y,0
20180228_sample_3,90,20180228_slice_3,2018-02-28,sample 3,mouse_ROUXZ,2017-12-30,60,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV-,660669,659765,110843,2,8778,IT,L2/3 IT_3,0.69,"L2/3 IT_3 (69.0%), L2/3 IT_2 (30.7%)","L2/3 IT VISp Agmat (67.0%), L2/3 IT VISp Rrad (17.0%), L2/3 IT ALM Ptrf (14.0%)",1823,168.12,Fede,18.0,230.2,84.0,541.8,1495.368,y,0
20180306_sample_1,91,20180306_slice_1,2018-03-06,sample 1,mouse_YMIOM,2018-01-10,55,M,Pvalb-Cre/wt; Ai9/wt,2/3,2/3,PV+,398522,693288,112269,2,8472,Pvalb,Pvalb Reln,0.89,"Pvalb Reln (88.9%), Pvalb Vipr2_2 (9.4%)",Pvalb Reln Itm2a (100.0%),1629,110.05,Fede,40.0,441.4,152.6,626.5,1729.14,y,0
